Consumer Brand,UML Id,Name,Country,Province,District,Latitude,Longitude,Parent Company,Parent Group,RSPO
J&J,PO1000006316,Palma Sur S.A.,Guatemala,Petén,Sayaxché,16.428333,-90.341889,Palma Sur S.A.,Palma Sur S.A.,Not RSPO Certified
J&J,PO1000006323,Kerry Sawit Indonesia 2,Indonesia,Kalimantan Tengah,Seruyan,-2.69695,112.483083,Kerry Sawit Indonesia,Wilmar International,"RSPO Certified, MB"
J&J,PO1000006328,Guna Agung Semesta,Indonesia,Riau,Siak,0.98806,101.24345,Guna Agung Semesta,Guna Agung Semesta,Not RSPO Certified
J&J,PO1000006329,Sumberipa,Papua New Guinea,Oro,Sohe,-8.769184,148.160793,Kula Palm Oil Ltd - Higaturu Oil Palms,Nbpol,Not RSPO Certified
J&J,PO1000006340,Unit Betung,Indonesia,Sumatera Selatan,Banyu Asin,-2.848944,104.1649,Perkebunan Nusantara Vii,Perkebunan Nusantara,Not RSPO Certified
J&J,PO1000006345,Lubuk Banyau,Indonesia,Bengkulu,Bengkulu Utara,-3.3097,102.0926,Sandabi Indah Lestari,Sandabi Indah Lestari,Not RSPO Certified
J&J,PO1000006347,Sabaju,Malaysia,Sarawak,Bintulu,3.197481,113.509834,Sarawak Oil Palms Berhad,Sarawak Oil Palms Berhad,Not RSPO Certified
J&J,PO1000006348,Leok,Indonesia,Sulawesi Tengah,Buol,1.026389,121.360833,Hardaya Inti Plantations,Cipta Cakra Murdaya,Not RSPO Certified
J&J,PO1000006349,Oleaginosas De Colombia Ltda / Oleocol,Colombia,Meta,Cabuyaro,4.296567,-73.047533,Oleaginosas De Colombia Ltda / Oleocol,Oleaginosas De Colombia Ltda / Oleocol,Not RSPO Certified
J&J,PO1000006350,Unipalma S.A.,Colombia,Meta,Cumaral,4.22384,-73.255523,Unipalma S.A.,Unipalma S.A.,Not RSPO Certified
J&J,PO1000006353,Risda Durian Mas,Malaysia,Trengganu,Dungun,4.595091,103.202805,Risda Estates Sdn Bhd,Risda Estates Sdn Bhd,Not RSPO Certified
