umlid,treeloss_sum,land_area,forest_area,treeloss_2001,treeloss_2002,treeloss_2003,treeloss_2004,treeloss_2005,treeloss_2006,treeloss_2007,treeloss_2008,treeloss_2009,treeloss_2010,treeloss_2011,treeloss_2012,treeloss_2013,treeloss_2014,treeloss_2015,treeloss_2016,treeloss_2017,treeloss_2018,treeloss_2019,treeloss_sum_proportion_of_land,treeloss_sum_proportion_of_forest,remaining_proportion_of_forest
PO1000007547,33464.65058823525,91545.41364705884,80253.90105882355,1169.1451764705882,674.0569411764706,451.31470588235294,712.5370588235294,642.1228235294118,581.4483529411764,812.0968235294118,3294.573882352941,3780.031411764705,2983.1925882352934,2077.3941176470585,3707.253176470589,1566.3282352941178,1407.4471764705881,1384.282235294118,3334.449176470588,1993.1707058823533,1799.3583529411762,1094.4476470588233,0.36555245374993617,0.4169847215739298,0.5830152784260703
PO1000007548,15495.730235294111,60704.59623529415,49242.87564705881,590.9149411764706,537.1203529411765,196.82082352941177,905.3512941176473,1266.3278823529413,767.7769411764705,670.764,324.8572941176471,1814.4480000000003,909.928941176471,271.74317647058825,735.4457647058823,567.4041176470588,787.1301176470587,574.6838823529412,1413.166235294118,1437.2784705882352,928.3595294117647,796.2084705882352,0.25526453013923134,0.3146796370373964,0.6853203629626037
PO1000007549,85849.15694117646,457983.44647058833,444576.3501176472,130.36411764705883,525.8417647058823,7692.031764705882,1245.759176470588,703.1964705882352,787.8582352941175,17773.412470588235,2430.6402352941172,1968.9077647058825,2457.3794117647058,2455.0284705882355,4022.994352941176,2238.263294117647,10402.294235294115,7474.189058823529,18822.436235294117,1302.0303529411763,1356.0402352941178,2060.489294117647,0.18745034913983447,0.19310329242313137,0.8068967075768686
PO1000007550,18012.01270588235,36719.60576470575,33693.9511764706,108.14223529411764,326.74658823529404,51.31129411764706,402.89858823529414,31.30411764705882,882.7521176470589,717.2399999999999,3330.8671764705864,2833.8275294117643,1707.0638823529414,1318.924941176471,1217.7554117647057,1930.9581176470588,1182.3091764705882,375.85235294117643,718.4435294117648,135.1450588235294,329.68623529411764,410.7843529411765,0.4905284882768317,0.5345770405953644,0.46542295940463563
PO1000007553,51072.79552941175,231462.93847058815,224624.067882353,1511.8270588235293,1617.5470588235294,453.4309411764706,1836.370941176471,5413.4054117647065,3966.3659999999995,3628.4057647058844,4535.114117647059,1412.5535294117649,1094.6184705882351,1278.6324705882353,3462.231176470588,1844.603294117647,3055.9228235294113,3399.0525882352945,4267.431176470587,3112.4375294117644,2371.5529411764705,2811.2922352941173,0.22065215220579054,0.22737009444669642,0.7726299055533036
PO1000007559,2652.0801176470586,16045.765058823534,13002.820235294126,101.24788235294118,68.27541176470588,48.02964705882353,133.06376470588236,316.2049411764705,67.66976470588236,273.3204705882353,143.8164705882353,68.52141176470589,0.44999999999999996,86.9124705882353,355.35494117647056,252.69317647058824,56.453294117647054,27.45670588235294,193.47141176470586,71.87470588235293,103.4975294117647,283.7661176470588,0.16528224786568746,0.20396191515809786,0.7960380848419022
PO1000007561,64379.71023529408,191765.34952941182,177222.23682352938,1225.935882352941,1386.2435294117645,1543.0009411764704,2249.0618823529408,751.0048235294117,4190.198470588233,2416.5296470588232,1801.5063529411766,3990.2078823529405,2312.958352941176,3263.816470588235,5530.940117647057,2558.3834117647057,3877.6464705882345,3986.430352941177,9723.27494117647,4396.779176470587,4101.7411764705885,5074.050352941177,0.3357212885084847,0.3632710623069313,0.6367289376930687
PO1000007566,3377.2214117647104,34711.85752941179,16829.630117647044,132.81352941176468,72.63317647058823,275.9590588235294,83.28917647058823,84.67941176470589,72.3744705882353,428.97600000000006,86.8570588235294,496.68388235294117,281.6361176470587,105.408,611.1328235294121,17.82,116.32799999999999,31.204235294117648,117.38329411764705,105.05047058823529,145.37188235294118,111.62082352941178,0.09729301893173388,0.20067116081318137,0.7993288391868186
PO1000007567,5484.323294117636,10624.942941176474,9077.600117647045,103.46823529411768,22.916470588235292,44.660823529411765,571.1894117647058,685.1456470588237,390.0818823529411,5.67,126.3995294117647,940.7759999999998,169.89141176470594,125.90788235294113,641.5489411764706,280.5158823529413,944.7169411764706,14.380235294117647,70.38,64.14423529411766,33.03,249.4997647058823,0.5161743761336727,0.6041600448400449,0.39583995515995507
PO1000007568,4495.570235294115,26356.080705882367,20980.08282352942,131.22741176470586,96.11611764705883,48.99035294117646,111.4344705882353,110.76176470588236,316.64047058823536,121.1025882352941,254.90964705882348,113.69470588235293,229.308,210.22588235294117,347.2944705882353,175.38529411764702,214.13082352941174,260.3001176470588,408.7641176470588,454.8914117647058,552.5410588235294,337.8515294117647,0.1705705140859869,0.21427800228949898,0.785721997710501
